Organization, Amount Submitted ," Total Eligible Payment (includes bonuses and side funds, not direct funds) ", Match Amount Approved , Bonus Amount Approved , Jonathan Logan Family Foundation (side fund , Rita Allen (side fund) , Wyncote (direct) , Zellerbach (direct) , Gates Family Foundation/Colorado Media Project (direct)  ,Goal-Based Bonus 1 (100 new individual donors), Bonus 1 ,Goal-Based Bonus 2 (individual donors increase 2017 vs 2018), Bonus 2 ,Goal-Based Bonus 3 (NewsMatch cap increase 2017 vs 2018 ), Bonus 3 ,Primary Contact Name:,Primary Contact Email:,Primary Contact Phone Number:,Street Address:,City:,State:,Zip Code:,What is your EIN?,Fiscal Sponsor - Organization Name,Fiscal Sponsor - EIN,Fiscal Sponsor - Primary Contact Name,Fiscal Sponsor - Primary Contact Email,Fiscal Sponsor - Mailing Address,Fiscal Sponsor - Website,,,,,,
Maryland Matters," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Meg Thale,mthale@marylandmatters.org,(301) 332-5090,PO Box 11121,Takoma Park,MD,20913,,The Greater Washington Commnity Foundation,237343119,Bridget Hanagan,bhanagan@thecommunityfoundation.org,1325 G Street NW,www.thecommunityfoundation.org,,,,,,
MarylandReporter.com Inc.," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Len Lazarick,Len@MarylandReporter.com,(410) 499-5893,6392 Shadowshape Place,Columbia,MD,21045,270853887,,,,,,,,,,,,
Milwaukee Neighborhood News Service," $21,111.13 "," $28,611.13 "," $21,111.13 "," $7,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Sharon McGowan,smcgowan@milwaukeenns.org,(414) 604-6397,"1131 W Wisconsin, Johnston Hall 430",Milwaukee,WI,53233,390806251,,,,,,,,,,,,
MinnPost," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Tanner Curl,tcurl@minnpost.com,612-455-6954,"600 9th Ave SE, Suite 220",Minneapolis,MN,55414,260573427,,,,,,,,,,,,
Mission Local," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Lydia Chavez,lydia.chavez@missionlocal.com,(415) 793-3811,2301 Mission St Ste 104,San Francisco,CA,94110,,San Francisco Public Press,271275103,Lila Hood,lila@sfpublicpress.org,"44 Page Street, Suite 504, San Francisco, CA 94102",https://sfpublicpress.org/,,,,,,
Mississippi Today," $25,000.00 "," $35,800.00 "," $25,000.00 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Elizabeth Hambuchen ,ehambuchen@mississippitoday.org,(662) 313-8580,750 Woodlands Pkwy,Ridgeland,MS,39157,472158741,,,,,,,,,,,,
Montana Free Press," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,John S. Adams,editor@mtfp.org,406-465-9359,"34 W 6th Ave., Ste. 2F",Helena,MT,59601,,Institute for Nonprofit News,272614911,Chip Potts,chip@inn.org,"714 W Olympic Blvd, Suite 931 Los Angeles, CA  90015",http://www.inn.org,,,,,,
Mother Jones," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Brian Hiatt,bhiatt@motherjones.com,(415) 321-1171,222 Sutter Street,San Francisco,CA,94108,942282759,,,,,,,,,,,,
Mountain Independent," $1,996.48 "," $1,996.48 "," $1,996.48 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Alec Jacobson,alec@mountainindependent.org,802-578-6339,"135 E. Colorado Ave, P. O. Box 1289",Telluride,CO,81435,472546984,,,,,,,,,,,,
MuckRock," $10,831.75 "," $13,331.75 "," $10,831.75 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Michael Morisy,michael@muckrock.com,(1650) 656-3417,1151 Massachusetts Ave,Cambridge,MA,02138,811485228,,,,,,,,,,,,
New England Center for Investigative Reporting at Boston University," $24,966.08 "," $24,966.08 "," $24,966.08 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Burton Glass,bglass@bu.edu,617-531-1685,"640 Commonwealth Avenue, College of Communication / NECIR",Boston,MA,02215,42103547,,,,,,,,,,,,
New Food Economy," $13,881.00 "," $22,881.00 "," $13,881.00 "," $5,000.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", No , $-   ,Hillary Bonhomme,hillary.bonhomme@newfoodeconomy.org,(337) 349-1527,"12 East 49th Street, 11th Floor",New York,NY,10017,,Windward Fund,473522162,Gabriella Barrow,Gabriella.barrow@arabellaadvisors.com,"1201 Connecticut Avenue NW, Suite 300  Washington, DC 20036",https://www.windwardfund.org/,,,,,,
New Hampshire Center for Public Interest Journalism," $18,052.67 "," $20,552.67 "," $18,052.67 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Nancy M. West,nancywestnews@gmail.com,(603) 738-5635,38 Edgewater Drive,Barrington,NH,03825,812266973,,,,,,,,,,,,
New Mexico In Depth," $9,124.89 "," $14,124.89 "," $9,124.89 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Marjorie Childress,marjorie@nmindepth.com,505-410-8487,7820 Enchanted Hills Blvd. Ste A-225,Rio Rancho,NM,87144,454011138,,,,,,,,,,,,
Next City," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jeff Muckensturm,jeff@nextcity.org,267-239-0762,"1500 JFK Boulevard, #1220",Philadelphia,PA,19102,223886361,,,,,,,,,,,,
NJ Spotlight," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   ," $10,000.00 ", $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,John Mooney,jmooney@njspotlight.com,973-464-7392,207 Orange Road,Montclair,NJ,07042,,Community Foundation of New Jersey,222281783,Hans Dekker,Hdekker@cfnj.org,"Box 338, Morristown, NJ  07963-0338",https://cfnj.org,,,,,,
North Carolina Health News," $25,000.00 "," $42,300.00 "," $25,000.00 "," $7,500.00 "," $5,800.00 "," $4,000.00 ", $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Elizabeth Page,elizabethgpage@gmail.com,(919) 624-0531,PO BOX 2573,Chapel Hill,NC,27515,453913463,,,,,,,,,,,,
Northern Kentucky Tribune," $14,280.00 "," $19,280.00 "," $14,280.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Jacob Clabes,jacob@nkytrib.com,(859) 802-9039,644 Braddock Court,Edgewood,KY,41017,463464828,,,,,,,,,,,,
NowCastSA," $13,681.00 "," $18,681.00 "," $13,681.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Charlotte-Anne Lucas,calucas@nowcastsa.org,210-859-2359,"600 Soledad Street, 6th floor",San Antonio,TX,78205,900585154,,,,,,,,,,,,
Ohio Center for Investigative Journalism (Eye On Ohio)," $1,514.60 "," $3,029.20 "," $1,514.60 "," $1,514.60 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $1,514.60 ", N/A , $-   ,Lucia Walinchus,Lucia@EyeonOhio.com,(646) 397-7761,3971 Hoover Rd. #159,Grove City,OH,43123,461169803,,,,,,,,,,,,
Oklahoma Watch," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Dena Drabek,ddrabek@oklahomawatch.org,(405) 590-5889,"500 N Broadway, Ste. LL10",Oklahoma City,OK,73102,273721498,,,,,,,,,,,,
Online Journalism Project," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Paul Bass,pauljbass@gmail.com,203-668-5790,"c/o New Haven Independent, 51 Elm St., 3rd floor",New Haven,CT,06510,203296979,,,,,,,,,,,,
"Orb Media, Inc."," $17,309.92 "," $22,309.92 "," $17,309.92 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Emma Hersh,Emmah@orbmedia.org,(301) 651-4329,"1875 Connecticut Ave, NW FL10",Washington,DC,20009,453806445,,,,,,,,,,,,
PassBlue," $6,381.29 "," $8,881.29 "," $6,381.29 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Dulcie Leimbach,passblue1@gmail.com,347-988-9095,250 Henry Street 2AB,Brooklyn,NY,11201,133297197,,,,,,,,,,,,
PBS NewsHour," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Jen Brake,jbrake@weta.org,(703) 998-1851,3939 Campbell Avenue,Arlington,VA,22206,465682322,,,,,,,,,,,,
Philadelphia Public School Notebook," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   ," $10,000.00 ", $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Lauren Wiley,laurenw@thenotebook.org,215-839-0082,699 Ranstead St. 3rd Floor,Philadelphia,PA,19106,462716505,,,,,,,,,,,,
PolitiFact," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Angela Lowry,alowry@poynter.org,727-893-8230,801 3rd Street South,St. Petersburg,FL,33701,591630423,,,,,,,,,,,,
ProPublica," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Jill Shepherd,jill.shepherd@propublica.org,(917) 512-0286,"155 Avenue of the Americas, 13th floor",New York,NY,10013,142007220,,,,,,,,,,,,
Public Radio International (PRI) / Public Radio Exchange (PRX)," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Louisa Lincoln,llincoln@pri.org,(612) 978-6656,"401 N 2nd Avenue, Suite 500",Minneapolis,MN,55401,411425271,,,,,,,,,,,,
PublicSource," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   ," $10,000.00 ", $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Chrystal Walsh,chrystal@publicsource.org,412-515-0060,746 E. Warrington Ave.,Pittsburgh,PA,15210,474309256,,,,,,,,,,,,
Pulitzer Center on Crisis Reporting," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Julia Kelmer,jkelmers@putlizercenter.org,(202) 734-3760,"1779 Massachusetts Avenue NW, Ste 615",Washington,DC,22036-2109,270458242,,,,,,,,,,,,
Religion News Foundation," $11,323.83 "," $11,323.83 "," $11,323.83 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , No , $-   ,Thomas Gallagher,thomas.gallagher@religionnews.com,(203) 561-3585,30 Neff Annex,Columbus,MO,65211,311650883,,,,,,,,,,,,
"Retro Report, Inc."," $20,718.35 "," $20,718.35 "," $20,718.35 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Claire Schultz,cschultz@retroreport.com,646-869-0722,"633 Third Avenue, 16th Floor",New York,NY,10017-6706,273504414,,,,,,,,,,,,
Rocky Mountain Public Media," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   ," $1,500.00 ", N/A , $-   , N/A , $-   , N/A , $-   ,Jennifer Johnson,JenniferJohnson@rmpbs.org,(303) 620-5698,1089 Bannock St,Denver,CO,80211,840510785,,,,,,,,,,,,
San Antonio Report dba Rivard Report," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jenna Mallette,jenna@rivardreport.com,(832) 754-8013,126 Gonzales St,San Antonio,TX,78205,474820476,,,,,,,,,,,,
San Francisco Public Press," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Lila LaHood,lila@sfpublicpress.org,415-846-5346,"44 Page St., Suite 504",San Francisco,CA,94102,271275141,,,,,,,,,,,,
Scalawag Magazine," $18,204.16 "," $18,204.16 "," $18,204.16 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Cierra Hinton,cierra@scalawagmagazine.org,(919) 360-6503,P.O. Box 129,Durham,NC,27702,472014247,,,,,,,,,,,,
Searchlight New Mexico," $14,391.91 "," $16,891.91 "," $14,391.91 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", No , $-   ,Rob Dean,searchlight@searchlightnm.com,505-470-0118,202 E Marcy St,Santa Fe,NM,87501,813234552,,,,,,,,,,,,
Society for Science and the Public/Science News," $25,000.00 "," $29,000.00 "," $25,000.00 ", $-   , $-   ," $4,000.00 ", $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Nancy Shute,nshute@sciencenews.org,202-872-5115,1719 N St. NW,Washington,DC,20036,530196483,,,,,,,,,,,,
Solitary Watch," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Jean Casella,jcasella@solitarywatch.com,(917) 974-0529,"123 7th Avenue, PMB 166",Brooklyn,New York,11215,,Institute for Nonprofit News,272614911,Mara Jezior,mara@inn.org,"714 West Olympic Blvd. #931, Los Angeles, CA 90015",www.inn.org,,,,,,
South Dakota News Watch," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Randell Beck,randell.beck@yahoo.com,605-941-0272,PO Box 90205,Sioux Falls,SD,57109,814674814,,,,,,,,,,,,
Southern Investigative Reporting Foundation," $25,000.00 "," $33,300.00 "," $25,000.00 "," $2,500.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Roddy Boyd,RSBoyd@protonmail.com,(917) 514-3897,513 John S Mosby Drive,Wilmington,NC,28412-7150,455560402,,,,,,,,,,,,
St. Louis Public Radio," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Shelley Kerley,skerley@stlpublicradio.org,314-516-6176,3651 Olive Street,St. Louis,MO,63108,436003859,,,,,,,,,,,,
Tarbell," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", No , $-   , N/A , $-   ,Will Drabold,will@tarbell.org,(740) 707-8864,614 S.4th St. #310,Philadelphia,PA,19147,813169011,,,,,,,,,,,,
Texas Democracy Foundation/DBA Texas Observer," $25,000.00 "," $35,800.00 "," $25,000.00 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Loren Lynch,lynch@texasobserver.org,(512) 477-0746,54 Chicon St,Austin,TX,78702,742619883,,,,,,,,,,,,
The Austin Bulldog," $10,888.00 "," $15,888.00 "," $10,888.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Ken Martin,ken@theaustinbulldog.org,512-426-6115,PO Box 4400,Austin,TX,78765,270231463,,,,,,,,,,,,
The Center for Investigative Reporting," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Annie Chabel,achabel@revealnews.org,510-982-2872,1400 65th Street Suite 200,Emeryville,CA,94608,942434026,,,,,,,,,,,,
The Center for Michigan / Bridge Magazine," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Amber L.T. DeLind,adelind@thecenterformichigan.net,(734) 474-0166,4100 N Dixboro Road,Ann Arbor,MI,48105,320167398,,,,,,,,,,,,
The Chicago Reporter c/o Community Renewal Society," $8,135.21 "," $8,135.21 "," $8,135.21 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Asraa Mustufa,amustufa@chicagoreporter.com,(312) 673-3837,"111 West Jackson Boulevard, Suite 820",Chicago,IL,60604,362000728,,,,,,,,,,,,
The Colorado Independent," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   ," $1,500.00 ", Yes ," $2,500.00 ", No , $-   , N/A , $-   ,Susan Greene,susan.greene@coloradoindependent.com,‭(303) 918-1312‬,8273 East 29th Place,Denver,CO,80238,462634633,,,,,,,,,,,,
"The Conversation US, Inc."," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Charles Cuneo,charles.cuneo@theconversation.com,(857) 305-8674,"89 South Street, Suite 202",Boston,MA,02111,460906774,,,,,,,,,,,,
The Crime Report," $3,782.85 "," $7,565.70 "," $3,782.85 "," $3,782.85 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $1,282.85 ", Yes ," $2,500.00 ",Stephen Handelman,shandel@ix.netcom.com,(212) 873-5593,"a/c John Jay College, 524 W. 59th St., B602",New York,NY,10019,133683676,,,,,,,,,,,,
"The Forward Association, Inc."," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Deborah Greenberg,greenberg@forward.com,(1646) 895-0062,125 Maiden Lane,New York,NY,10038,130623590,,,,,,,,,,,,
The GroundTruth Project Inc.," $18,933.39 "," $21,433.39 "," $18,933.39 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Kevin Grant,kgrant@thegroundtruthproject.org,(773) 750-0900,10 Guest St.,Boston,MA,02135,460908502,,,,,,,,,,,,
The Hechinger Report," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , Yes ," $2,500.00 ",Lillian Mongeau,mongeau@hechingerreport.org,212-678-7542,"475 Riverside Drive, Ste. 650",New York,NY,10115,131624202,,,,,,,,,,,,
The Investigative Fund at The Nation Institute," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Kristine Bruch,kristine@nationinstitute.org,212-822-0263,"116 East 16th Street, 8th Floor",New York,NY,10003,136216903,,,,,,,,,,,,
The Lens," $25,000.00 "," $33,300.00 "," $25,000.00 "," $2,500.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Anne Mueller,amueller@TheLensNola.org,504 258 1624,"4344 Earhart Blvd., Suite B",New Orleans,LA,70125,272072772,,,,,,,,,,,,
The Marshall Project," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Andrew Pflanzer,apflanzer@themarshallproject.org,(212) 803-5209,"156 West 56th Street, Suite 701",New York,NY,10019,464353634,,,,,,,,,,,,
The Midwest Center for Investigative Reporting," $5,898.09 "," $10,898.09 "," $5,898.09 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Pam Dempsey,pamelagdempsey@investigatemidwest.org,(505) 409-7070,"701 Devonshire Dr., C-33",Champaign,IL,61820,271652830,,,,,,,,,,,,
The Nevada Independent," $24,366.60 "," $29,366.60 "," $24,366.60 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jon Ralston,ralston@thenvindy.com,702-378-0893,7455 Arroyo Crossing Pkwy Ste 220,Las Vegas,NV,89113,273192716,,,,,,,,,,,,
The Seattle Globalist," $24,799.58 "," $27,299.58 "," $24,799.58 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Travis Quezon,travis@seattleglobalist.com,206-552-0568,"1515 12th Ave, Suite G",Seattle,WA,98122,205999325,,,,,,,,,,,,
The Texas Tribune," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Terry Quinn,development@texastribune.org,(512) 771-5169,"919 Congress Avenue, Sixth Floor",Austin,TX,78701,264527097,,,,,,,,,,,,
The Trace," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , Yes ," $2,500.00 ",James Burnett,jburnett@thetrace.org,617-943-2980,"195 Montague Street, 14th Floor, Suite 1001",Brooklyn,NY,11201,474175513,,,,,,,,,,,,
The War Horse," $19,270.94 "," $21,770.94 "," $19,270.94 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Thomas Brennan,thomas.brennan@thewarhorse.org,(845) 642-4933,PO Box 399,Richlands,NC,28574,,Institute for Nonprofit News,272614911,Sue Cross,sue@investigativenewsnetwork.org,"714 W Olympic Blvd, Suite 931, Los Angeles, CA  90015",https://inn.org/,,,,,,
Threshold," $20,918.50 "," $25,918.50 "," $20,918.50 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Nicholas Mott,nickgmott@gmail.com,(913) 706-8525,P.O. Box 9394,Missoula,MT,59807,,Fractured Atlas,113451703,Theresa Hubbard,support@fracturedatlas.org,"248 West 35th Street, 10th Floor",www.fracturedatlas.org,,,,,,
TucsonSentinel.com," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Dylan Smith,dylansmith@tucsonsentinel.com,520-271-8203,1960 N Painted Hills,Tucson,AZ,85745,,Florida Center for Investigative Reporting,271187698,Tevor Aaronson,aaronson@fcir.org,"P.O. Box 7129, St. Petersburg. FL 33734",fcir.org,,,,,,
Voice of OC," $25,000.00 "," $32,500.00 "," $25,000.00 "," $7,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Sonya Quick,squick@voiceofoc.org,(562) 301-6281,P.O. Box 10020,Santa Ana,CA,92711,270550219,,,,,,,,,,,,
Voice of San Diego," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", No , $-   , N/A , $-   ,Iris E. Magid,iris.magid@voiceofsandiego.org,(619) 550-5673,110 West A Street Suite 650,San Diego,CA,92101,201585919,,,,,,,,,,,,
Voices of Monterey Bay," $22,184.20 "," $24,684.20 "," $22,184.20 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Joe Livernois,joe@vomb.org,831.277.7138,502 Larkin St.,Monterey,CA,93940,,Institute for Nonprofit News,272614911,Sue Cross,sue@investigativenewsnetwork.org,"714 W. Olympic Blvd. #931, Los Angeles, CA 90015",https://inn.org,,,,,,
VTDigger.org," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", No , $-   , N/A , $-   ,Phayvanh Luekhamhan,pluekhamhan@vtdigger.org,802-225-6224,"26 State Street, Suite 8",Montpelier,VT,05602,271553931,,,,,,,,,,,,
Washington Monthly Corporation," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Alice Gallin-Dwyer ,AGallin@washingtonmonthly.com,(202) 955-9010,"1200 18th Street NW, Suite 330",Washington,DC,20036,800434806,,,,,,,,,,,,
Wausau Pilot and Review Corporation," $18,495.00 "," $23,495.00 "," $18,495.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Shereen Siewert,editor@wausaupilotandreview.com,715-298-0233,602 Ruder St.,Wausau,WI,54403-6621,814399324,,,,,,,,,,,,
WDET," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Carmen Garcia,cgarcia@wdet.org,(313) 577-3342,4600 Cass,Detroit,MI,48202,386028429,,,,,,,,,,,,
WFYI Public Media," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Swati Gunale,sgunale@wfyi.org,317-636-0487,1630 N. Meridian Street,Indianapolis,IN,46202,351147600,,,,,,,,,,,,
"WHYY, Inc."," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Gianna Tripodi-Bhise,gtripodi-bhise@whyy.org,215-351-1239,150 North Sixth Street,Philadelphia,PA,19106,231438083,,,,,,,,,,,,
Wisconsin Center for Investigative Journalism," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Andy Hall,ahall@wisconsinwatch.org,608-333-2333,5006 Vilas Communication Hall,Madison,WI,53706,262143608,,,,,,,,,,,,
