,organization,city,county,state,lat_long,latitude,longitude
5380,Mail Tribune,Medford,Jackson,OR,"[42.3265152, -122.8755949]",42.3265152,-122.8755949
5381,Observer,La Grande,Union,OR,"[45.3245771, -118.0877188]",45.3245771,-118.0877188
5382,Herald and News,Klamath Falls,Klamath,OR,"[42.224867, -121.7816704]",42.224867,-121.7816704
5383,Daily Courier,Grants Pass,Josephine,OR,"[42.4390069, -123.3283925]",42.4390069,-123.3283925
5384,Daily Astorian,Astoria,Clatsop,OR,"[46.1878841, -123.8312534]",46.1878841,-123.8312534
5385,Corvallis Gazette-Times,Corvallis,Benton,OR,"[44.5645659, -123.2620435]",44.5645659,-123.2620435
5386,Bulletin,Bend,Deschutes,OR,"[44.0581728, -121.3153096]",44.0581728,-121.3153096
5387,Baker City Herald,Baker City,Baker,OR,"[44.7748748, -117.8343848]",44.7748748,-117.8343848
5388,Ashland Daily Tidings The,Medford,Jackson,OR,"[42.3265152, -122.8755949]",42.3265152,-122.8755949
5389,Argus Observer,Ontario,Malheur,OR,"[51.253775, -85.323214]",51.253775,-85.323214
5390,Albany Democrat-Herald,Albany,Linn,OR,"[42.6525793, -73.7562317]",42.6525793,-73.7562317
5391,Corry Journal,Corry,Erie,PA,"[41.9203337, -79.6403287]",41.9203337,-79.6403287
5392,Tribune-Review Valley News Dispatch Edition,Tarentum,Allegheny,PA,"[40.6014555, -79.75977089999999]",40.6014555,-79.75977089999999
5393,Scoop USA,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5394,Roxborough Review,Lansdale,Montgomery,PA,"[40.2414952, -75.2837862]",40.2414952,-75.2837862
5395,Bucks County Herald,Lahaska,Bucks,PA,"[40.346495, -75.0315583]",40.346495,-75.0315583
5396,Tribune-Review Westmoreland Edition,Greensburg,Westmoreland,PA,"[40.3014581, -79.5389289]",40.3014581,-79.5389289
5397,Delaware County Spirit,Glenolden,Delaware,PA,"[39.9001126, -75.2890745]",39.9001126,-75.2890745
5398,Journal,Ebensburg,Cambria,PA,"[40.4850717, -78.7247426]",40.4850717,-78.7247426
5399,Main Line Suburban Life,Ardmore,Delaware,PA,"[34.1742611, -97.14362539999999]",34.1742611,-97.14362539999999
5400,Northampton Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5401,Metro Philadelphia,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5402,Avon Grove Sun,West Chester,Chester,PA,"[39.9606643, -75.6054882]",39.9606643,-75.6054882
5403,Pike and Monroe Life,Milford,Pike,PA,"[41.2306979, -73.064036]",41.2306979,-73.064036
5404,Shaler Journal,Glenshaw,Allegheny,PA,"[40.5325079, -79.96803919999999]",40.5325079,-79.96803919999999
5405,Pine Creek Journal,Warrendale,Allegheny,PA,"[40.65320759999999, -80.0794925]",40.65320759999999,-80.0794925
5406,Hampton Journal,Gibsonia,Allegheny,PA,"[40.6300567, -79.9703318]",40.6300567,-79.9703318
5407,Dallas Post,Wilkes Barre,Luzerne,PA,"[41.2459149, -75.88130749999999]",41.2459149,-75.88130749999999
5408,Yeadon Times,Drexel Hill,Delaware,PA,"[39.9470567, -75.2921301]",39.9470567,-75.2921301
5409,Upper Darby Press,Drexel Hill,Delaware,PA,"[39.9470567, -75.2921301]",39.9470567,-75.2921301
5410,Star Community Newsweekly,Bensalem,Bucks,PA,"[40.09944249999999, -74.9325683]",40.09944249999999,-74.9325683
5411,Midweek Wire,Trevose,Bucks,PA,"[40.138576, -74.9822461]",40.138576,-74.9822461
5412,Salisbury Press,Allentown,Somerset,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5413,Plum Advance Leader,Pittsburgh,Allegheny,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5414,Pittsburgh City Paper,Pittsburgh,Allegheny,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5415,New Pittsburgh Courier,Pittsburgh,Allegheny,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5416,Philadelphia Free Press,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5417,University City Review,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5418,South Philly Review,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5419,Philadelphia Weekly,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5420,Philadelphia Tribune,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5421,Philadelphia Sunday Sun,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5422,Philadelphia Public Record,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5423,Town and Country,Pennsburg,Montgomery,PA,"[40.3909328, -75.4921248]",40.3909328,-75.4921248
5424,Penn Franklin News,Murrysville,Westmoreland,PA,"[40.4284015, -79.69754499999999]",40.4284015,-79.69754499999999
5425,Tri-County Record,Morgantown,Berks,PA,"[39.629526, -79.95589679999999]",39.629526,-79.95589679999999
5426,Lancaster Farming,Ephrata,Lancaster,PA,"[40.1798165, -76.17883909999999]",40.1798165,-76.17883909999999
5427,Town Talk Newspapers,Swarthmore,Delaware,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5428,Ridley Press,Drexel Hill,Delaware,PA,"[39.9470567, -75.2921301]",39.9470567,-75.2921301
5429,Elizabethtown Advocate,Elizabethtown,Lancaster,PA,"[0.0, 0.0]",0.0,0.0
5430,Dillsburg Banner,Dillsburg,York,PA,"[40.1109255, -77.034978]",40.1109255,-77.034978
5431,Mainliner,Ebensburg,Cambria,PA,"[40.4850717, -78.7247426]",40.4850717,-78.7247426
5432,Cranberry Eagle,Cranberry Township,Venango,PA,"[40.6849626, -80.1071379]",40.6849626,-80.1071379
5433,Catasauqua Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5434,Bethlehem Press,Allentown,Northampton,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5435,Kittanning Paper The,Kittanning,Armstrong,PA,"[40.816453, -79.5219893]",40.816453,-79.5219893
5436,Advance Leader,Oakmont,Allegheny,PA,"[40.5217347, -79.8422719]",40.5217347,-79.8422719
5437,Penn-Trafford Star,Pittsburgh,Westmoreland,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5438,North/McKnight Journal,West View,Allegheny,PA,"[40.5222907, -80.0342217]",40.5222907,-80.0342217
5439,Willow Grove Guide,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5440,Whitehall-Coplay Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5441,Valley Times-Star,Shippensburg,Cumberland,PA,"[40.0506453, -77.5202647]",40.0506453,-77.5202647
5442,Valley Mirror,Munhall,Allegheny,PA,"[40.3922914, -79.9000499]",40.3922914,-79.9000499
5443,Times Chronicle/Globe News/Glenside News,Jenkintown,Montgomery,PA,"[40.0959438, -75.1251743]",40.0959438,-75.1251743
5444,Wellsboro Gazette,Wellsboro,Tioga,PA,"[41.74868379999999, -77.3005304]",41.74868379999999,-77.3005304
5445,Valley Voice,Hellertown,Northampton,PA,"[40.57954369999999, -75.34073459999999]",40.57954369999999,-75.34073459999999
5446,Valley Log The,Orbisonia,Huntingdon,PA,"[40.2428588, -77.89305279999999]",40.2428588,-77.89305279999999
5447,Upper Dauphin Sentinel,Millersburg,Dauphin,PA,"[40.5545071, -81.91791979999999]",40.5545071,-81.91791979999999
5448,Swarthmorean,Swarthmore,Delaware,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5449,Susquehanna County Independent The,Montrose,Susquehanna,PA,"[38.4783198, -107.8761738]",38.4783198,-107.8761738
5450,Sullivan Review,Dushore,Sullivan,PA,"[41.524242, -76.4007744]",41.524242,-76.4007744
5451,Southern Berks News,Birdsboro,Berks,PA,"[40.2645371, -75.8040852]",40.2645371,-75.8040852
5452,Rocket-Courier,Wyalusing,Bradford,PA,"[42.9438751, -91.14151830000002]",42.9438751,-91.14151830000002
5453,Portage Dispatch,Portage,Cambria,PA,"[42.2011538, -85.5800022]",42.2011538,-85.5800022
5454,Penn Hills Progress The,Penn Hills,Allegheny,PA,"[40.5011794, -79.83921579999999]",40.5011794,-79.83921579999999
5455,Shippensburg News-Chronicle The,Shippensburg,Cumberland,PA,"[40.0506453, -77.5202647]",40.0506453,-77.5202647
5456,News Eagle,Honesdale,Wayne,PA,"[41.5767552, -75.25878709999999]",41.5767552,-75.25878709999999
5457,New Republic The,Meyersdale,Somerset,PA,"[39.81369309999999, -79.024748]",39.81369309999999,-79.024748
5458,Mount Pleasant Journal,Mount Pleasant,Westmoreland,PA,"[32.8323225, -79.82842579999999]",32.8323225,-79.82842579999999
5459,Luminary,Hughesville,Lycoming,PA,"[38.5326217, -76.78385589999999]",38.5326217,-76.78385589999999
5460,Ligonier Echo,Ligonier,Westmoreland,PA,"[40.2431278, -79.2375325]",40.2431278,-79.2375325
5461,Leader-Vindicator,New Bethlehem,Clarion,PA,"[41.0017319, -79.3314297]",41.0017319,-79.3314297
5462,Kutztown Area Patriot The,Pottstown,Berks,PA,"[40.2453741, -75.6496302]",40.2453741,-75.6496302
5463,Kennett Paper The,West Chester,Delaware,PA,"[39.9606643, -75.6054882]",39.9606643,-75.6054882
5464,Journal-Herald,White Haven,Luzerne,PA,"[41.06064, -75.77408199999999]",41.06064,-75.77408199999999
5465,Johnsonburg Press,Johnsonburg,Elk,PA,"[40.9646, -74.8784082]",40.9646,-74.8784082
5466,Jeannette Spirit,Greensburg,Westmoreland,PA,"[40.3014581, -79.5389289]",40.3014581,-79.5389289
5467,Independent-Observer,Scottdale,Westmoreland,PA,"[40.1003506, -79.5869834]",40.1003506,-79.5869834
5468,Forest City News,Forest City,Susquehanna,PA,"[35.3340108, -81.8651028]",35.3340108,-81.8651028
5469,Ephrata Review,Ephrata,Lancaster,PA,"[40.1798165, -76.17883909999999]",40.1798165,-76.17883909999999
5470,Echo-Pilot The,Greencastle,Franklin,PA,"[39.6444898, -86.8647316]",39.6444898,-86.8647316
5471,Citizen-Standard,Valley View,Schuylkill,PA,"[35.7692185, -90.7391739]",35.7692185,-90.7391739
5472,Star-Courier The,Northern Cambria,Cambria,PA,"[40.65923420000001, -78.78169369999999]",40.65923420000001,-78.78169369999999
5473,Albion News,Albion,Erie,PA,"[40.7433388, -73.9775703]",40.7433388,-73.9775703
5474,Advance of Bucks County,Lansdale,Bucks,PA,"[40.2414952, -75.2837862]",40.2414952,-75.2837862
5475,Susquehanna County Transcript,Susquehanna,Susquehanna,PA,"[41.2122261, -75.9800824]",41.2122261,-75.9800824
5476,Sunday Dispatch,Pittston,Luzerne,PA,"[41.3259134, -75.78936039999999]",41.3259134,-75.78936039999999
5477,Springfield Press,Swarthmore,Delaware,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5478,Phoenix Reporter and Item,Pottstown,Montgomery,PA,"[40.2453741, -75.6496302]",40.2453741,-75.6496302
5479,South Hills Record,Pittsburgh,Allegheny,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5480,Souderton Independent,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5481,Sewickley Herald,Sewickley,Allegheny,PA,"[40.5364846, -80.1844243]",40.5364846,-80.1844243
5482,Snyder County Times,Middleburg,Snyder,PA,"[38.9687211, -77.7355496]",38.9687211,-77.7355496
5483,Public Spirit,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5484,Progress News,Emlenton,Venango,PA,"[41.1772836, -79.7078274]",41.1772836,-79.7078274
5485,Press and Journal,Middletown,Dauphin,PA,"[41.5623209, -72.6506488]",41.5623209,-72.6506488
5486,Potter Leader Enterprise,Coudersport,Potter,PA,"[41.7747878, -78.02056019999999]",41.7747878,-78.02056019999999
5487,Port Allegany Reporter-Argus,Port Allegany,Mc Kean,PA,"[41.81089799999999, -78.27973519999999]",41.81089799999999,-78.27973519999999
5488,Pike County Dispatch,Milford,Pike,PA,"[41.2306979, -73.064036]",41.2306979,-73.064036
5489,Perry County Times,New Bloomfield,Perry,PA,"[38.7203167, -92.09129560000001]",38.7203167,-92.09129560000001
5490,Parkland Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5491,Norwin Star,Pittsburgh,Westmoreland,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5492,Northwestern Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5493,Northeast Times,Trevose,Philadelphia,PA,"[40.138576, -74.9822461]",40.138576,-74.9822461
5494,North Penn Life,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5495,Delaware County NewsNetwork,Swarthmore,Delaware,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5496,Wyoming County Press Examiner,Tunkhannock,Wyoming,PA,"[41.5386878, -75.94658799999999]",41.5386878,-75.94658799999999
5497,Murrysville Star,Pittsburgh,Westmoreland,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5498,Mountaintop Eagle,Mountain Top,Luzerne,PA,"[37.7217077, -95.86804149999999]",37.7217077,-95.86804149999999
5499,Morrisons Cove Herald,Martinsburg,Blair,PA,"[39.4562099, -77.96388689999999]",39.4562099,-77.96388689999999
5500,Montgomery Life,Fort Washington,Lycoming,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5501,Mercersburg Journal,Mercersburg,Franklin,PA,"[39.82786979999999, -77.9033314]",39.82786979999999,-77.9033314
5502,Main Line Times,Ardmore,Montgomery,PA,"[34.1742611, -97.14362539999999]",34.1742611,-97.14362539999999
5503,Lititz Record Express,Ephrata,Lancaster,PA,"[40.1798165, -76.17883909999999]",40.1798165,-76.17883909999999
5504,King of Prussia Courier,Wayne,Montgomery,PA,"[37.0360747, -95.63643499999999]",37.0360747,-95.63643499999999
5505,Juniata Sentinel,Mifflintown,Juniata,PA,"[40.5661982, -77.39273039999999]",40.5661982,-77.39273039999999
5506,Jeffersonian Democrat,Brookville,Jefferson,PA,"[41.1611746, -79.0830924]",41.1611746,-79.0830924
5507,Jefferson County Neighbors,Punxsutawney,Jefferson,PA,"[40.9436753, -78.9708668]",40.9436753,-78.9708668
5508,Hamburg Area Item,Hamburg,Berks,PA,"[53.5510846, 9.9936819]",53.5510846,9.9936819
5509,Greene County Messenger,Waynesburg,Greene,PA,"[39.8964641, -80.1792299]",39.8964641,-80.1792299
5510,Garnet Valley Press,Swarthmore,Chester,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5511,Fulton County News,Mc Connellsburg,Fulton,PA,"[39.932589, -77.9988906]",39.932589,-77.9988906
5512,Free Press-Courier,Wellsboro,Tioga,PA,"[41.74868379999999, -77.3005304]",41.74868379999999,-77.3005304
5513,Forest Press,Tionesta,Forest,PA,"[41.49534, -79.45587979999999]",41.49534,-79.45587979999999
5514,Mountaineer-Herald The,Ebensburg,Cambria,PA,"[40.4850717, -78.7247426]",40.4850717,-78.7247426
5515,East Penn Press,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5516,Duncannon Record,New Bloomfield,Perry,PA,"[38.7203167, -92.09129560000001]",38.7203167,-92.09129560000001
5517,County Observer,Yeagertown,Mifflin,PA,"[40.6431265, -77.5805496]",40.6431265,-77.5805496
5518,Chestnut Hill Local,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5519,Chester County Press,West Grove,Chester,PA,"[39.8220535, -75.82744129999999]",39.8220535,-75.82744129999999
5520,Carbondale News,Honesdale,Lackawanna,PA,"[41.5767552, -75.25878709999999]",41.5767552,-75.25878709999999
5521,Canton Independent Sentinel,Canton,Bradford,PA,"[23.12911, 113.264385]",23.12911,113.264385
5522,Cameron County Echo,Emporium,Cameron,PA,"[41.9242452, -87.6993324]",41.9242452,-87.6993324
5523,Bradford Journal-Miner,Bradford,Mc Kean,PA,"[42.6039333, -87.85439079999999]",42.6039333,-87.85439079999999
5524,Boyertown Area Times,Pottstown,Berks,PA,"[40.2453741, -75.6496302]",40.2453741,-75.6496302
5525,Ambler Gazette,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5526,Allied News,Grove City,Mercer,PA,"[39.88145189999999, -83.0929644]",39.88145189999999,-83.0929644
5527,Abington Journal,Clarks Summit,Lackawanna,PA,"[41.4886892, -75.70852479999999]",41.4886892,-75.70852479999999
5528,Moscow Villager,Honesdale,Lackawanna,PA,"[41.5767552, -75.25878709999999]",41.5767552,-75.25878709999999
5529,Times,Port Royal,Juniata,PA,"[27.7429434, -97.12718729999999]",27.7429434,-97.12718729999999
5530,Sun,Hershey,Dauphin,PA,"[40.2859239, -76.65024679999999]",40.2859239,-76.65024679999999
5531,Record,Renovo,Clinton,PA,"[34.0269131, -118.4754023]",34.0269131,-118.4754023
5532,News-Sun,Newport,Perry,PA,"[41.4901024, -71.3128285]",41.4901024,-71.3128285
5533,Home News,Walnutport,Northampton,PA,"[40.7542619, -75.5987971]",40.7542619,-75.5987971
5534,Herald,Sharpsburg,Allegheny,PA,"[39.4575994, -77.748882]",39.4575994,-77.748882
5535,Globe Leader,New Wilmington,Lawrence,PA,"[41.1222812, -80.33284280000001]",41.1222812,-80.33284280000001
5536,Dispatch,Ebensburg,Indiana,PA,"[40.4850717, -78.7247426]",40.4850717,-78.7247426
5537,South Schuylkill News,Schuylkill Haven,Schuylkill,PA,"[40.6306464, -76.171054]",40.6306464,-76.171054
5538,Almanac,Pittsburgh,Washington,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5539,Springfield Sun,Fort Washington,Delaware,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5540,County Press,Salisbury,Bucks,PA,"[38.3606736, -75.5993692]",38.3606736,-75.5993692
5541,Clarion News,Clarion,Clarion,PA,"[36.1872585, -95.8907543]",36.1872585,-95.8907543
5542,Times Express The,Pittsburgh,Allegheny,PA,"[40.44062479999999, -79.9958864]",40.44062479999999,-79.9958864
5543,Colonial The,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5544,Perkasie News-Herald,Fort Washington,Montgomery,PA,"[38.7073379, -77.0230313]",38.7073379,-77.0230313
5545,Daily Herald,Tyrone,Blair,PA,"[40.6706184, -78.23862439999999]",40.6706184,-78.23862439999999
5546,Daily Press The,Saint Marys,Elk,PA,"[37.8416252, -122.1098786]",37.8416252,-122.1098786
5547,News-Herald The/Derrick The,Oil City,Venango,PA,"[41.4339484, -79.7064413]",41.4339484,-79.7064413
5548,Ridgway Record,Ridgway,Elk,PA,"[38.1525873, -107.7556162]",38.1525873,-107.7556162
5549,Punxsutawney Spirit The,Punxsutawney,Jefferson,PA,"[40.9436753, -78.9708668]",40.9436753,-78.9708668
5550,Latrobe Bulletin,Latrobe,Westmoreland,PA,"[40.3211808, -79.37948109999999]",40.3211808,-79.37948109999999
5551,Kane Republican,Kane,Mc Kean,PA,"[36.7462847, -95.9756172]",36.7462847,-95.9756172
5552,Huntingdon Daily News The,Huntingdon,Huntingdon,PA,"[40.48479589999999, -78.0102813]",40.48479589999999,-78.0102813
5553,Record-Argus,Greenville,Mercer,PA,"[34.85261759999999, -82.3940104]",34.85261759999999,-82.3940104
5554,Journal,Corry,Erie,PA,"[41.9203337, -79.6403287]",41.9203337,-79.6403287
5555,Progress,Clearfield,Clearfield,PA,"[41.1107771, -112.0260538]",41.1107771,-112.0260538
5556,York Dispatch,York,York,PA,"[39.9625984, -76.727745]",39.9625984,-76.727745
5557,York Daily Record/York Sunday News,York,York,PA,"[39.9625984, -76.727745]",39.9625984,-76.727745
5558,Daily Local News,West Chester,Chester,PA,"[39.9606643, -75.6054882]",39.9606643,-75.6054882
5559,Wayne Independent The,Honesdale,Wayne,PA,"[41.5767552, -75.25878709999999]",41.5767552,-75.25878709999999
5560,Times Observer,Warren,Warren,PA,"[37.09024, -95.712891]",37.09024,-95.712891
5561,Herald-Standard,Uniontown,Fayette,PA,"[39.900076, -79.71643259999999]",39.900076,-79.71643259999999
5562,Tribune-Democrat,Johnstown,Cambria,PA,"[40.32674069999999, -78.9219698]",40.32674069999999,-78.9219698
5563,Times-Tribune,Scranton,Lackawanna,PA,"[41.408969, -75.66241219999999]",41.408969,-75.66241219999999
5564,Titusville Herald,Titusville,Crawford,PA,"[28.6122187, -80.8075537]",28.6122187,-80.8075537
5565,Times Leader,Wilkes Barre,Luzerne,PA,"[41.2459149, -75.88130749999999]",41.2459149,-75.88130749999999
5566,Daily Item,Sunbury,Northumberland,PA,"[40.862585, -76.79441039999999]",40.862585,-76.79441039999999
5567,Sun-Gazette,Williamsport,Lycoming,PA,"[41.2411897, -77.00107860000001]",41.2411897,-77.00107860000001
5568,Centre Daily Times,State College,Centre,PA,"[40.7933949, -77.8600012]",40.7933949,-77.8600012
5569,Herald,Sharon,Mercer,PA,"[42.1236499, -71.1786237]",42.1236499,-71.1786237
5570,Record Herald The,Waynesboro,Franklin,PA,"[38.0684692, -78.8894682]",38.0684692,-78.8894682
5571,Reading Eagle,Reading,Berks,PA,"[51.4542645, -0.9781303]",51.4542645,-0.9781303
5572,Republican-Herald The,Pottsville,Schuylkill,PA,"[40.6856456, -76.195499]",40.6856456,-76.195499
5573,Mercury,Pottstown,Montgomery,PA,"[40.2453741, -75.6496302]",40.2453741,-75.6496302
5574,Pocono Record,Stroudsburg,Monroe,PA,"[40.9867609, -75.1946248]",40.9867609,-75.1946248
5575,Pittsburgh Post-Gazette,Clinton,Allegheny,PA,"[38.3686324, -93.7782689]",38.3686324,-93.7782689
5576,Philadelphia Inquirer,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5577,Philadelphia Daily News,Philadelphia,Philadelphia,PA,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
5578,Patriot-News,Mechanicsburg,Dauphin,PA,"[40.2132692, -77.0080309]",40.2132692,-77.0080309
5579,Observer-Reporter,Washington,Washington,PA,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
5580,Times Herald The,Lansdale,Montgomery,PA,"[40.2414952, -75.2837862]",40.2414952,-75.2837862
5581,News-Item,Shamokin,Northumberland,PA,"[40.7889746, -76.5588473]",40.7889746,-76.5588473
5582,New Castle News,New Castle,Lawrence,PA,"[39.6620397, -75.5668166]",39.6620397,-75.5668166
5583,Erie Times-News,Erie,Erie,PA,"[42.12922409999999, -80.085059]",42.12922409999999,-80.085059
5584,Meadville Tribune,Meadville,Crawford,PA,"[41.6414438, -80.15144839999999]",41.6414438,-80.15144839999999
5585,Express,Lock Haven,Clinton,PA,"[41.1370133, -77.4469263]",41.1370133,-77.4469263
5586,Sentinel,Lewistown,Mifflin,PA,"[40.5992395, -77.571382]",40.5992395,-77.571382
5587,Standard-Journal The,Milton,Northumberland,PA,"[42.2495321, -71.0661653]",42.2495321,-71.0661653
5588,Times News,Lehighton,Carbon,PA,"[40.8337029, -75.7138008]",40.8337029,-75.7138008
5589,Lebanon Daily News,Lebanon,Lebanon,PA,"[33.854721, 35.862285]",33.854721,35.862285
5590,Leader-Times,Kittanning,Armstrong,PA,"[40.816453, -79.5219893]",40.816453,-79.5219893
5591,Reporter,Lansdale,Montgomery,PA,"[40.2414952, -75.2837862]",40.2414952,-75.2837862
5592,Intelligencer,Doylestown,Bucks,PA,"[40.3101063, -75.1298939]",40.3101063,-75.1298939
5593,LNP,Lancaster,Lancaster,PA,"[40.0378755, -76.3055144]",40.0378755,-76.3055144
5594,Indiana Gazette,Indiana,Indiana,PA,"[40.2671941, -86.1349019]",40.2671941,-86.1349019
5595,Hazleton Standard-Speaker,Hazleton,Luzerne,PA,"[40.9584181, -75.97464719999999]",40.9584181,-75.97464719999999
5596,Evening Sun,Hanover,York,PA,"[43.7022451, -72.2895526]",43.7022451,-72.2895526
5597,Gettysburg Times,Gettysburg,Adams,PA,"[39.8309293, -77.2310955]",39.8309293,-77.2310955
5598,Morning Times,Sayre,Bradford,PA,"[35.291162, -99.64009689999999]",35.291162,-99.64009689999999
5599,Ellwood City Ledger,Ellwood City,Lawrence,PA,"[40.8617303, -80.2864515]",40.8617303,-80.2864515
5600,Express-Times,Easton,Northampton,PA,"[40.0530885, -82.9151849]",40.0530885,-82.9151849
5601,Delaware County Daily Times,Swarthmore,Delaware,PA,"[39.9020565, -75.3499123]",39.9020565,-75.3499123
5602,Daily Review,Towanda,Bradford,PA,"[41.767575, -76.4427188]",41.767575,-76.4427188
5603,Daily American,Somerset,Somerset,PA,"[42.56285560000001, -83.1841251]",42.56285560000001,-83.1841251
5604,Courier-Express The,Du Bois,Clearfield,PA,"[44.2656316, -88.4728583]",44.2656316,-88.4728583
5605,Daily Courier,Connellsville,Fayette,PA,"[40.0178522, -79.58948280000001]",40.0178522,-79.58948280000001
5606,Citizens' Voice The,Wilkes Barre,Luzerne,PA,"[41.2459149, -75.88130749999999]",41.2459149,-75.88130749999999
5607,Public Opinion,Chambersburg,Franklin,PA,"[39.9375911, -77.6611022]",39.9375911,-77.6611022
5608,Sentinel,Carlisle,Cumberland,PA,"[40.2010241, -77.20027449999999]",40.2010241,-77.20027449999999
5609,Butler Eagle,Butler,Butler,PA,"[37.09024, -95.712891]",37.09024,-95.712891
5610,Bucks County Courier Times,Levittown,Bucks,PA,"[40.7259336, -73.51429209999999]",40.7259336,-73.51429209999999
5611,Bradford Era The,Bradford,Mc Kean,PA,"[42.6039333, -87.85439079999999]",42.6039333,-87.85439079999999
5612,Press-Enterprise,Bloomsburg,Columbia,PA,"[41.003698, -76.4549457]",41.003698,-76.4549457
5613,Bedford Gazette,Bedford,Bedford,PA,"[32.844017, -97.1430671]",32.844017,-97.1430671
5614,Beaver County Times,Beaver,Beaver,PA,"[37.09024, -95.712891]",37.09024,-95.712891
5615,Altoona Mirror,Altoona,Blair,PA,"[40.5186809, -78.3947359]",40.5186809,-78.3947359
5616,Morning Call,Allentown,Lehigh,PA,"[40.6022939, -75.4714098]",40.6022939,-75.4714098
5617,Independent The,Wakefield,Newport,RI,"[42.5039395, -71.0723391]",42.5039395,-71.0723391
5618,Westport Shorelines,Bristol,Bristol,RI,"[51.454513, -2.58791]",51.454513,-2.58791
5619,Wood River Press,Westerly,Washington,RI,"[41.3775987, -71.82728709999999]",41.3775987,-71.82728709999999
5620,Westerly-Pawtucket Express,Westerly,Washington,RI,"[41.3775987, -71.82728709999999]",41.3775987,-71.82728709999999
5621,Johnston Sun Rise,Warwick,Providence,RI,"[41.7001009, -71.4161671]",41.7001009,-71.4161671
5622,North Providence Breeze The,Lincoln,Providence,RI,"[35.949526, -94.4235482]",35.949526,-94.4235482
5623,East Providence Post,East Providence,Providence,RI,"[41.8137116, -71.3700545]",41.8137116,-71.3700545
5624,Warwick Beacon,Warwick,Kent,RI,"[41.7001009, -71.4161671]",41.7001009,-71.4161671
5625,Warren Times-Gazette,Bristol,Bristol,RI,"[51.454513, -2.58791]",51.454513,-2.58791
5626,Block Island Times The,Block Island,Washington,RI,"[41.1616556, -71.5842643]",41.1616556,-71.5842643
5627,Sakonnet Times,Bristol,Newport,RI,"[51.454513, -2.58791]",51.454513,-2.58791
5628,Newport This Week,Newport,Newport,RI,"[41.4901024, -71.3128285]",41.4901024,-71.3128285
